133,69,33,41,36,122,92,133,69,33,41,36,122,92
134,69,34,42,37,123,96,133,69,33,41,36,122,92
134,69,34,42,37,123,96,133,69,33,41,36,122,92
134,69,34,42,37,123,96,133,69,33,41,36,122,92
134,69,34,42,37,123,96,134,70,33,41,36,123,92
134,69,34,42,37,123,96,134,70,33,41,36,123,92
134,69,34,42,37,123,96,134,70,33,41,36,123,92
133,68,34,42,37,122,96,134,70,33,41,36,123,92
133,68,34,42,37,122,96,134,70,33,41,36,123,92
133,68,34,42,37,122,96,135,71,33,42,36,123,92
133,68,34,42,37,122,96,135,71,33,42,36,123,92
133,68,34,42,37,122,96,136,72,33,42,36,125,94
134,68,34,42,37,123,96,136,72,33,42,36,125,94
134,68,34,42,37,123,96,136,72,33,42,36,125,94
133,67,34,42,36,121,93,136,72,33,42,36,125,94
133,67,34,42,36,121,93,137,73,33,42,36,126,94
133,67,34,42,36,121,93,137,73,33,42,36,126,94
133,67,34,42,36,121,93,136,72,33,42,36,125,94
133,67,34,42,36,121,93,136,72,33,42,36,125,94
134,68,34,42,36,122,93,136,72,33,42,36,125,94
134,68,34,42,36,122,93,135,71,33,42,36,124,93
134,68,34,42,36,122,93,135,71,33,42,36,124,93
135,68,35,42,37,123,94,135,71,33,42,36,124,93
135,68,35,42,37,123,94,135,71,33,42,36,124,93
135,68,35,42,37,123,94,135,71,33,42,36,124,93
135,68,35,42,37,123,94,135,71,33,42,36,124,93
135,68,35,42,37,123,94,135,71,33,42,36,124,93
135,68,35,42,37,123,94,135,71,33,42,36,124,93
135,68,35,42,37,123,94,136,72,33,42,36,126,95
135,68,35,42,37,123,94,136,72,33,42,36,126,95
136,69,35,43,37,124,94,136,72,33,42,36,126,95
